distribution;value
d_4;71
d_1;62.5399100934601
d_1;63.337946607383
d_2;50.5436578248008
d_1;69.9998451756188
d_2;65.5943973390267
d_2;61.6889512998438
d_1;57.3323004203287
d_4;68
d_3;64.8018990709149
d_4;62
d_3;21.5876236837357
d_4;60
d_4;59
d_1;67.0746490355284
d_4;53
d_1;53.066206341738
d_2;81.3454349374607
d_2;73.9256452508694
d_1;77.3336663880439
d_1;68.2396820251655
d_2;67.7397763236269
d_4;80
d_2;57.4835424804992
d_3;85.5681010185725
d_4;61
d_4;56
d_1;61.0177159799274
d_1;62.3829211189764
d_2;63.3236343112585
d_2;66.9901619769841
d_1;84.1132460364553
d_1;70.3924817804755
d_4;63
d_4;65
d_3;27.3173070137078
d_3;75.6764083840587
d_4;67
d_4;54
d_2;66.7935304424421
d_1;52.9474278785714
d_3;20.0892234058119
d_2;72.7579493875495
d_3;133.574087334924
d_1;68.5196098153739
d_2;88.7651150330274
d_3;252.640468267771
d_1;50.413250713005
d_4;62
d_3;81.5177389579528
d_3;61.3316268586256
d_3;149.537441783381
d_2;53.1587492171211
d_3;58.1800395269581
d_3;8.9156636572666
d_3;38.1081184535287
d_2;64.9375633908302
d_4;80
d_1;61.709634722761
d_1;60.4201986182644
d_1;57.7914689826328
d_1;75.2978421335671
d_1;58.9188344757235
d_2;71.6938687156558
d_4;63
d_2;62.8406966414618
d_1;65.8162465667789
d_1;71.276295812899
d_1;46.2659965324655
d_2;68.0371423849975
d_1;60.0362571809
d_3;106.937389014416
d_3;53.7308959402778
d_1;66.4717674015272
d_2;78.6185234439926
d_2;73.0724213973279
d_1;65.0962354362055
d_2;64.0700841967315
d_4;68
d_3;39.5100168627687
d_3;93.0169734583572
d_4;75
d_3;6.05046487646177
d_4;68
d_2;56.6806923126104
d_3;100.563011825211
d_3;148.08578407504
d_3;17.9103216525542
d_3;109.591368151955
d_4;71
d_2;62.9753173299309
d_4;59
d_1;67.1168355959368
d_2;59.3845843174759
d_2;63.2206010038438
d_3;46.6307308218144
d_4;69
d_2;66.1814708161408
d_4;66
d_1;54.820361855686
d_4;69
d_1;45.2689178555537
d_3;16.0880518495105
d_1;82.5377861285904
d_4;68
d_1;56.771635602263
d_1;59.1621677803415
d_4;57
d_4;76
d_1;66.9288284572953
d_3;4.20062355464324
d_4;56
d_1;68.4552556200123
d_1;69.5300409902694
d_4;62
d_4;70
d_3;88.6451220764481
d_2;79.4118917561638
d_2;83.0029439269662
d_1;52.5874743337653
d_3;53.9788926432789
d_3;31.3787927059457
d_2;68.2200787396431
d_4;56
d_1;53.1195963753365
d_2;67.1007493383771
d_4;69
d_3;9.81152527034283
d_3;16.0792449861765
d_3;20.8031999203376
d_2;79.6581052832388
d_1;67.0452365558515
d_4;63
d_1;64.7349072966339
d_1;80.7487536070791
d_1;67.3290527963526
d_4;67
d_3;42.5356629281305
d_1;70.4614025713232
d_1;60.0945859434499
d_1;69.7235500283684
d_1;61.470615216489
d_2;58.6680216463588
d_4;64
d_2;68.3570585615032
d_1;66.1891018978368
d_1;71.7188823411978
d_3;127.018996480979
d_4;63
d_1;67.4490354908796
d_2;65.9577820036801
d_1;64.8344196419977
d_2;46.6824427233397
d_1;68.064047688771
d_1;52.7594942574432
d_2;62.6079987709451
d_1;59.3658015290967
d_4;77
d_3;32.1944663302744
d_3;3.21132604032755
d_2;73.7171945323068
d_2;46.8135637647117
d_2;58.8229261633704
d_1;59.8209113804553
d_4;71
d_2;71.9218531645465
d_3;11.4955338605073
d_1;85.6267193446088
d_2;52.1593965980113
d_1;67.0576673491906
d_1;65.8916711628241
d_4;74
d_1;62.4239615507181
d_3;37.656406420283
d_4;71
d_3;84.0757913487666
d_2;79.733703716025
d_3;78.7485701051243
d_1;59.9886381570778
d_3;40.3568234550767
d_3;1.18471721187234
d_3;5.47403576804341
d_1;59.2997489248575
d_1;71.2533721300149
d_3;3.92444616336262
d_3;50.7958618058525
d_1;63.9441400225103
d_2;57.8736955740578
d_1;59.4028144397118
d_3;24.8208889272064
d_3;73.3467036551498
d_2;59.8332995750049
d_1;75.2969884617658
d_1;68.2272353061129
d_3;218.757134069011
d_4;70
d_3;38.4113937825896
d_3;15.0371007830836
d_3;20.3404752507028
d_3;38.6777061829343
d_1;73.1294142788323
d_2;54.5537657188098
d_1;59.4696067417545
d_1;63.8113811019227
d_1;68.0694705441372
d_4;61
d_1;49.4371064738578
